APAGAR;SALDO;DOTACATUAL;FUNCAO;SUBFUNCAO;PROGRAMA;PROJATIV;ACAO;DOTAC;ALTDO;EMPMES;EMPATUAL;LIQMES;LIQATUAL;PAGOMES;PAGOATUAL;PODER;PODERNOME;ORGAO;ORGAONOME;UNIDADE;CATEGORIA;CATEGORIANOME;GRUPO;GRUPONOME;MODALIDADE;MODALIDADENOME;ELEMENTO;ELEMENTONOME;CATECNOME;FUNCAONOME;PROGRAMANOME;SUBFUNCAONOME;PROJATIVNOME;ACAONOME;CATEC;UNIDADENOME;ORGAO1;UNIDADE1;DESDOBRO;FICHA;EMPRESA;EMPRESANOME;FONINDUSO;FONINDUSONOME;FONGRUPO;FONGRUPONOME;FONCODIGO;FONCODIGONOME;VINGRUPO;VINGRUPONOME;VINCODIGO;VINCODIGONOME;PROCESSADO;NPROCESSADO;DESDOBRONOME;ALTERACAOMAISMES;ALTERACAOMENOSMES;SALDOALTERACAOMES;FONRO;FONRONOME;CFPRO;CFPRONOME;PERC_EMPATUAL_DOTAC;FONTE_STN;FONTE_STNNOME;ESFERANOME;ESFERA;CLASSIFICACAO_SCPINOME;CLASSIFICACAO_MSCNOME;CLASSIFICACAO_SCPI;CLASSIFICACAO_MSC;CATEC_STN;CATEC_STNNOME;VINCULO;VINCULONOME;RESERVA;RESERVA_EMP;RESERVA_SALDO;CATECFICHA;CATECFICHANOME;COMPFR_STN;
0;850000;850000;08;244;1003;1041;0000;1000000;-150000;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020106;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;Assistência Social;MAIS PROMOÇÃO E ASSISTENCIA SOCIAL;Assistência Comunitária;Ampliação da oferta de benefícios eventuais, mantendo oferta;Ampliação da oferta de benefícios eventuais, mantendo oferta;3.3.90.32.00;DEPARTAMENTO MUNICIPAL DE ASSISTÊNCIA E PROMOÇÃO SOCIAL;01;06;00;266;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;510;ASSISTÊNCIA SOCIAL-GERAL;000;ASSISTÊNCIA SOCIAL-GERAL;0;0;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;150000;-150000;;;08.244.1003.1041.0000;Ampliação da oferta de benefícios eventuais, mantendo oferta de cestas básicas e gás de cozinha, e incluindo outros ben;73,42;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.00;;510.000;ASSISTÊNCIA SOCIAL-GERAL;491052,56;490480,56;572;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
134350;-289757,8;0;08;244;1003;1041;0000;0;0;289757,8;289757,8;219218,6;219218,6;155407,8;155407,8;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020106;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL DESTINADO À ASSISTÊNCIA SOCIAL;Assistência Social;MAIS PROMOÇÃO E ASSISTENCIA SOCIAL;Assistência Comunitária;Ampliação da oferta de benefícios eventuais, mantendo oferta;Ampliação da oferta de benefícios eventuais, mantendo oferta;3.3.90.32.03;DEPARTAMENTO MUNICIPAL DE ASSISTÊNCIA E PROMOÇÃO SOCIAL;01;06;03;266;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;510;ASSISTÊNCIA SOCIAL-GERAL;000;ASSISTÊNCIA SOCIAL-GERAL;63810,8;70539,2;MATERIAL DESTINADO À ASSISTÊNCIA SOCIAL;;;;;;08.244.1003.1041.0000;Ampliação da oferta de benefícios eventuais, mantendo oferta de cestas básicas e gás de cozinha, e incluindo outros ben;73,42;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.03;;510.000;ASSISTÊNCIA SOCIAL-GERAL;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
55790;-56378,22;0;08;244;1003;1041;0000;0;0;56378,22;56378,22;588,22;588,22;588,22;588,22;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020106;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL DESTINADO À ASSISTÊNCIA SOCIAL;Assistência Social;MAIS PROMOÇÃO E ASSISTENCIA SOCIAL;Assistência Comunitária;Ampliação da oferta de benefícios eventuais, mantendo oferta;Ampliação da oferta de benefícios eventuais, mantendo oferta;3.3.90.32.03;DEPARTAMENTO MUNICIPAL DE ASSISTÊNCIA E PROMOÇÃO SOCIAL;01;06;03;266;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;510;ASSISTÊNCIA SOCIAL-GERAL;000;ASSISTÊNCIA SOCIAL-GERAL;0;55790;MATERIAL DESTINADO À ASSISTÊNCIA SOCIAL;;;;;;08.244.1003.1041.0000;Ampliação da oferta de benefícios eventuais, mantendo oferta de cestas básicas e gás de cozinha, e incluindo outros ben;73,42;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.99;;510.000;ASSISTÊNCIA SOCIAL-GERAL;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
57650;-277944,54;0;08;244;1003;1041;0000;0;0;277944,54;277944,54;220294,54;220294,54;220294,54;220294,54;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020106;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;Assistência Social;MAIS PROMOÇÃO E ASSISTENCIA SOCIAL;Assistência Comunitária;Ampliação da oferta de benefícios eventuais, mantendo oferta;Ampliação da oferta de benefícios eventuais, mantendo oferta;3.3.90.32.99;DEPARTAMENTO MUNICIPAL DE ASSISTÊNCIA E PROMOÇÃO SOCIAL;01;06;99;266;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;510;ASSISTÊNCIA SOCIAL-GERAL;000;ASSISTÊNCIA SOCIAL-GERAL;0;57650;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;;;;;;08.244.1003.1041.0000;Ampliação da oferta de benefícios eventuais, mantendo oferta de cestas básicas e gás de cozinha, e incluindo outros ben;73,42;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.03;;510.000;ASSISTÊNCIA SOCIAL-GERAL;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
0;1;1;10;301;1001;1035;0000;1;0;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020105;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;Saúde;MAIS SAUDE;Atenção Básica;Atenção Básica para Todos;Atenção Básica para Todos;3.3.90.32.00;DEPARTAMENTO MUNICIPAL DE SAÚDE;01;05;00;153;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;310;SAÚDE–GERAL;000;SAÚDE–GERAL;0;0;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;;;;;;10.301.1001.1035.0000;Atenção Básica para Todos;0;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.00;;310.000;SAÚDE–GERAL;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;1002;
0;30000;30000;10;301;1001;1035;0000;80000;-50000;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020105;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;Saúde;MAIS SAUDE;Atenção Básica;Atenção Básica para Todos;Atenção Básica para Todos;3.3.90.32.00;DEPARTAMENTO MUNICIPAL DE SAÚDE;01;05;00;154;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;02;TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS;00  ;Recursos Ordinarios;300;SAÚDE;000;SAÚDE-Convênios/entidades/fundos;0;0;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;105000;155000;-50000;;;10.301.1001.1035.0000;Atenção Básica para Todos;22,38;1.621;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.00;;300.000;SAÚDE-Convênios/entidades/fundos;6713,25;6713,25;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
6713,25;-6713,25;0;10;301;1001;1035;0000;0;0;6713,25;6713,25;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020105;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;Saúde;MAIS SAUDE;Atenção Básica;Atenção Básica para Todos;Atenção Básica para Todos;3.3.90.32.99;DEPARTAMENTO MUNICIPAL DE SAÚDE;01;05;99;154;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;02;TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS;00  ;Recursos Ordinarios;300;SAÚDE;035;DOSE CERTA;0;6713,25;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;;;;;;10.301.1001.1035.0000;Atenção Básica para Todos;22,38;1.621;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.99;;300.035;DOSE CERTA;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
0;150000;150000;10;301;1001;1035;0000;150000;0;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020105;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;Saúde;MAIS SAUDE;Atenção Básica;Atenção Básica para Todos;Atenção Básica para Todos;3.3.90.32.00;DEPARTAMENTO MUNICIPAL DE SAÚDE;01;05;00;155;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;05;TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS;00  ;Recursos Ordinarios;300;SAÚDE;000;SAÚDE-Convênios/entidades/fundos;0;0;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;;;;;;10.301.1001.1035.0000;Atenção Básica para Todos;0;1.600;Transf.Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.00;;300.000;SAÚDE-Convênios/entidades/fundos;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;
0;1;1;10;302;1001;1037;0000;1;0;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020105;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;Saúde;MAIS SAUDE;Assistência  Hospitalar e Ambulatorial;Mais Exames, Mais Saúde;Mais Exames, Mais Saúde;3.3.90.32.00;DEPARTAMENTO MUNICIPAL DE SAÚDE;01;05;00;180;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;310;SAÚDE–GERAL;000;SAÚDE–GERAL;0;0;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;;;;;;10.302.1001.1037.0000;Mais Exames, Mais Saúde;0;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.00;;310.000;SAÚDE–GERAL;0;0;0;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;1002;
0;1095000;1095000;10;303;1001;1036;0000;1200000;-105000;0;0;0;0;0;0;02;PODER EXECUTIVO;0201;GABINETE DO PREFEITO;020105;3;DESPESAS CORRENTES;3;OUTRAS DESPESAS CORRENTES;90;APLICAÇÕES DIRETAS;32;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;Saúde;MAIS SAUDE;Suporte Profilático e Terapêutico;Farmácia Perto de Você;Farmácia Perto de Você;3.3.90.32.00;DEPARTAMENTO MUNICIPAL DE SAÚDE;01;05;00;195;1;PREFEITURA MUNICIPAL DE PRADOPOLIS;0;Recursos nao Destinados a Contrapartida;01;TESOURO;00  ;Recursos Ordinarios;310;SAÚDE–GERAL;000;SAÚDE–GERAL;0;0;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;0;105000;-105000;;;10.303.1001.1036.0000;Farmácia Perto de Você;89,23;1.500;Recursos não Vinculados de Impostos (Exerc.Corrente);FISCAL;10;NÃO INFORMADO;NÃO INFORMADO;;;3.3.90.32.00;;310.000;SAÚDE–GERAL;998050,62;977110,62;20940;3.3.90.32.00;MATERIAL, BEM OU SERVIÇO PARA DISTRIBUIÇÃO GRATUITA;1002;
